tool,hyperparameters,min_cluster_size,max_cluster_size,num_clustered,num_noise,prop_clustered,prop_clustered_incorrect,homogeneity,completeness
falcon,"(0.05,)",2,,5675468,15020706,0.2742278838591133,0.01110461890924206,0.9975222566122418,0.8438354712833923
falcon,"(0.1,)",2,,8909302,11786872,0.43048062893170497,0.01955296822988634,0.9954490735335574,0.8782508581969166
falcon,"(0.15,)",2,,11101817,9594357,0.5364188086165105,0.02971921234091327,0.9929788972156575,0.8977797710226826
falcon,"(0.2,)",2,,12651286,8044888,0.6112862213083442,0.04273710047663082,0.9898249360921101,0.911072700517591
falcon,"(0.25,)",2,,13810154,6886020,0.6672805321408681,0.06189554887881503,0.9851339761253946,0.9200205109252527
MaRaCluster,"(-3.0,)",2,,19590842,1951403,0.909415058644074,0.04330885331716,0.990478118925167,0.954145071397146
MaRaCluster,"(-5.0,)",2,,18411334,3130911,0.854661805211109,0.035429143015329,0.99215728447641,0.946310490872742
MaRaCluster,"(-10.0,)",2,,16454633,5087612,0.763830928484937,0.026689907414058,0.994523567595097,0.918000752970249
MaRaCluster,"(-15.0,)",2,,14944763,6597482,0.693742133189925,0.020934453518946,0.996091820494353,0.885422345858826
MaRaCluster,"(-20.0,)",2,,13296784,8245461,0.617242260497919,0.016503080641742,0.99710577389472,0.852920720398498
MaRaCluster,"(-25.0,)",2,,11421867,10120378,0.530207831170799,0.013225838066673,0.99776421316355,0.821551878802346
MaRaCluster,"(-30.0,)",2,,9305471,12236774,0.43196384592228,0.010653438207352,0.998237140976122,0.791083746657555
MS-Cluster,"(0.00001, 3)",2,,4197738,16930395,0.198680025348193,0.010069520549456,0.997960963082807,0.783896931341798
MS-Cluster,"(0.0001, 3)",2,,6139161,14988972,0.290568078116509,0.014115660708853,0.997063966247567,0.822780519455924
MS-Cluster,"(0.001, 3)",2,,8896701,12231432,0.421083159595786,0.021357379745139,0.995295724927352,0.865342804918905
MS-Cluster,"(0.005, 3)",2,,11210506,9917627,0.530596148746318,0.02990911403994,0.992996845272437,0.895532703475254
MS-Cluster,"(0.01, 3)",2,,12273888,8854245,0.580926293866098,0.034263275377415,0.99175167994806,0.907917387222907
MS-Cluster,"(0.05, 3)",2,,14650154,6477979,0.693395578303109,0.048111014106943,0.987672881900573,0.931106485725925
MS-Cluster,"(0.1, 3)",2,,15597898,5530235,0.738252546971377,0.055334765018151,0.985693054719737,0.937973017649259
msCRUSH,"(100, 15, 0.3)",2,,11868795,7816258,0.602934368528243,0.030093946735553,0.992619202835284,0.927885202144069
msCRUSH,"(100, 15, 0.4)",2,,11183752,8501301,0.568134208223874,0.026588156617334,0.993531943109455,0.922222105712606
msCRUSH,"(100, 15, 0.5)",2,,10259494,9425559,0.521181934333629,0.023117119119531,0.994533303253709,0.913308613272636
msCRUSH,"(100, 15, 0.6)",2,,8966423,10718630,0.455493973015973,0.019551281768784,0.995584802356631,0.899615174161487
msCRUSH,"(100, 15, 0.7)",2,,7092493,12592560,0.360298394929391,0.01577893216687,0.996678419001412,0.877814255615322
msCRUSH,"(100, 15, 0.8)",2,,4397921,15287132,0.223414232107986,0.011581507412824,0.99770742059791,0.84178833248157
spectra-cluster,"(0.99999, 3)",2,,10430972,11104041,0.484372681827496,0.017139668628312,0.996624891856173,0.824848927493922
spectra-cluster,"(0.9999, 3)",2,,12704105,8830908,0.58992790020605,0.021162546996762,0.995752691012957,0.844774124266994
spectra-cluster,"(0.999, 3)",2,,14627319,6907694,0.679234277685368,0.026559521782318,0.994511001153852,0.860393676458712
spectra-cluster,"(0.99, 3)",2,,16312392,5222621,0.757482338181082,0.034210728706649,0.992775176820008,0.870073746956267
spectra-cluster,"(0.95, 3)",2,,17252055,4282958,0.801116535197819,0.042092264502055,0.991098165701435,0.871855931237127
spectra-cluster,"(0.9, 3)",2,,17699224,3835789,0.821881277712718,0.04860563446891,0.989724537779332,0.871434258070557
spectra-cluster,"(0.8, 3)",2,,18212953,3322060,0.845736800808989,0.060998750150441,0.987033660269476,0.869994891611464
